edad,gkm80,gkf80,gkm95,gkf95,,1000000
15,0.00049,0.00022,0.001579,0.000296,,999510
16,0.0006,0.00025,0.001595,0.000332,,998910.294
17,0.00072,0.00028,0.001601,0.000343,,998191.0786
18,0.00072,0.0003,0.001595,0.000339,,997472.381
19,0.00073,0.00031,0.001579,0.00033,,996744.2262
20,0.00075,0.00032,0.00155,0.000326,,995996.668
21,0.00077,0.00032,0.001509,0.000336,,995229.7506
22,0.00079,0.00032,0.001464,0.000361,,994443.5191
23,0.0008,0.00032,0.001424,0.000391,,993647.9643
24,0.00082,0.00032,0.001388,0.000421,,992833.1729
25,0.00083,0.00032,0.001357,0.000451,,992009.1214
26,0.00083,0.0003,0.001333,0.000482,,991185.7538
27,0.00082,0.00029,0.001314,0.000513,,990372.9815
28,0.00081,0.00028,0.001302,0.000545,,989570.7794
29,0.00079,0.00028,0.001297,0.000587,,988789.0185
30,0.00077,0.00028,0.0013,0.000613,,988027.6509
31,0.00076,0.0003,0.00131,0.000649,,987276.7499
32,0.00076,0.00033,0.00133,0.000688,,986526.4196
33,0.00077,0.00036,0.001359,0.000729,,985766.7942
34,0.00082,0.00041,0.001397,0.000773,,984958.4655
35,0.00089,0.00048,0.001445,0.000819,,984081.8524
36,0.00097,0.00056,0.001505,0.000869,,983127.293
37,0.00107,0.00064,0.001575,0.000922,,982075.3468
38,0.00117,0.00073,0.001659,0.000976,,980926.3187
39,0.00127,0.00085,0.001757,0.00103,,979680.5422
40,0.00139,0.00098,0.001869,0.001085,,978318.7863
41,0.00153,0.00112,0.001998,0.001139,,976821.9586
42,0.00171,0.00125,0.002145,0.001191,,975151.593
43,0.00193,0.00137,0.00231,0.001242,,973269.5504
44,0.00217,0.00148,0.002497,0.001294,,971157.5555
45,0.00244,0.00159,0.002711,0.001352,,968787.9311
46,0.00273,0.00171,0.002955,0.00142,,966143.14
47,0.00305,0.00185,0.003233,0.001502,,963196.4034
48,0.00339,0.00202,0.003548,0.001602,,959931.1676
