edad,gkm80,gkf80,gkm95,gkf95
15,0.000490,0.000220,0.001579,0.000296
16,0.000600,0.000250,0.001595,0.000332
17,0.000720,0.000280,0.001601,0.000343
18,0.000720,0.000300,0.001595,0.000339
19,0.000730,0.000310,0.001579,0.000330
20,0.000750,0.000320,0.001550,0.000326
21,0.000770,0.000320,0.001509,0.000336
22,0.000790,0.000320,0.001464,0.000361
23,0.000800,0.000320,0.001424,0.000391
24,0.000820,0.000320,0.001388,0.000421
25,0.000830,0.000320,0.001357,0.000451
26,0.000830,0.000300,0.001333,0.000482
27,0.000820,0.000290,0.001314,0.000513
28,0.000810,0.000280,0.001302,0.000545
29,0.000790,0.000280,0.001297,0.000587
30,0.000770,0.000280,0.001300,0.000613
31,0.000760,0.000300,0.001310,0.000649
32,0.000760,0.000330,0.001330,0.000688
33,0.000770,0.000360,0.001359,0.000729
34,0.000820,0.000410,0.001397,0.000773
35,0.000890,0.000480,0.001445,0.000819
36,0.000970,0.000560,0.001505,0.000869
37,0.001070,0.000640,0.001575,0.000922
38,0.001170,0.000730,0.001659,0.000976
39,0.001270,0.000850,0.001757,0.001030
40,0.001390,0.000980,0.001869,0.001085
41,0.001530,0.001120,0.001998,0.001139
42,0.001710,0.001250,0.002145,0.001191
43,0.001930,0.001370,0.002310,0.001242
44,0.002170,0.001480,0.002497,0.001294
45,0.002440,0.001590,0.002711,0.001352
46,0.002730,0.001710,0.002955,0.001420
47,0.003050,0.001850,0.003233,0.001502
48,0.003390,0.002020,0.003548,0.001602
49,0.003770,0.002220,0.003906,0.001725
50,0.004190,0.002450,0.004309,0.001874
51,0.004630,0.002730,0.004761,0.002053
52,0.005090,0.003010,0.005266,0.002265
53,0.005570,0.003280,0.005827,0.002506
54,0.006090,0.003520,0.006447,0.002770
55,0.006680,0.003730,0.007129,0.003053
56,0.007300,0.003950,0.007876,0.003350
57,0.007960,0.004170,0.008688,0.003656
58,0.008600,0.004390,0.009570,0.003965
59,0.009210,0.004600,0.010524,0.004273
60,0.009790,0.004800,0.011552,0.004575
61,0.010350,0.005030,0.012657,0.004865
62,0.010890,0.005290,0.013842,0.005138
63,0.011450,0.005600,0.015108,0.005508
64,0.012050,0.005980,0.016460,0.006090
65,0.012700,0.006500,0.018071,0.006888
66,0.014060,0.007150,0.020031,0.007906
67,0.015660,0.007930,0.022342,0.009149
68,0.017560,0.008880,0.025002,0.010623
69,0.019810,0.009990,0.028012,0.012332
70,0.022460,0.011270,0.031371,0.014281
71,0.025610,0.012710,0.035081,0.016474
72,0.029350,0.014310,0.039140,0.018916
73,0.033830,0.017580,0.043549,0.021612
74,0.039200,0.021670,0.048308,0.024568
75,0.045640,0.026890,0.053416,0.027786
76,0.053350,0.030910,0.058875,0.031273
77,0.062560,0.035670,0.064683,0.035033
78,0.073530,0.041310,0.070840,0.039071
79,0.086550,0.047970,0.077348,0.043392
80,0.096810,0.055810,0.084205,0.048000
81,0.108180,0.064950,0.091412,0.052900
82,0.120690,0.075510,0.098969,0.058097
83,0.134420,0.087640,0.106876,0.063596
84,0.149480,0.101440,0.115132,0.069401
85,0.166050,0.117040,0.123739,0.075517
86,0.184200,0.134520,0.132695,0.081950
87,0.203930,0.153930,0.142000,0.088703
88,0.225150,0.175260,0.151656,0.095781
89,0.247700,0.198430,0.161661,0.103190
90,0.271360,0.223300,0.172016,0.110934
91,0.295820,0.249690,0.182721,0.119017
92,0.320850,0.277410,0.193775,0.127445
93,0.346240,0.306290,0.205180,0.136223
94,0.371840,0.336240,0.216934,0.145354
95,0.397550,0.367160,0.229038,0.154845
96,0.423340,0.398980,0.241491,0.164699
97,0.449170,0.431530,0.254295,0.174921
98,0.475040,0.464640,0.267448,0.185517
99,0.500920,0.498080,0.280951,0.196490
100,0.526810,0.531670,0.294803,0.207846
101,0.583880,0.559230,0.309006,0.219590
102,0.618750,0.595680,0.323558,0.231725
103,0.654850,0.633280,0.338460,0.244258
104,0.692210,0.672040,0.353712,0.257192
105,0.730840,0.711950,0.369313,0.270533
106,0.770740,0.753000,0.385264,0.284285
107,0.811880,0.795160,0.401566,0.298454
108,0.854240,0.838360,0.418216,0.313042
109,0.897730,0.882520,0.435217,0.328057
110,0.942250,0.927510,0.452567,0.343502
111,0.987610,0.973150,0.470267,0.359382
112,1.000000,1.000000,0.488317,0.375701
113,1.000000,1.000000,0.506717,0.392465
114,1.000000,1.000000,0.525466,0.409679
115,1.000000,1.000000,0.544565,0.427347
116,1.000000,1.000000,0.564014,0.445474
117,1.000000,1.000000,0.583813,0.464064
118,1.000000,1.000000,0.603962,0.483123
119,1.000000,1.000000,0.624460,0.502655
120,1.000000,1.000000,0.645308,0.522664
121,1.000000,1.000000,0.666506,0.543157
122,1.000000,1.000000,0.686053,0.564137
123,1.000000,1.000000,0.709951,0.585610
124,1.000000,1.000000,0.732198,0.607579
125,1.000000,1.000000,0.754968,0.630050
126,1.000000,1.000000,1.000000,1.000000
